"question","answer","index","asd","ASD"
"I've never been so outraged in all my life","Sorry to hear that.","72","42",""
"I've never been so peeved","Sorry to hear that.","72","25",""
"I've never been so pissed","Sorry to hear that.","72","25",""
"I've never been so pissed in all my life","Sorry to hear that.","72","40",""
"I've never been so infuriated in all my life","Sorry to hear that.","72","44",""
"I've never been so ticked off","Sorry to hear that.","72","29",""
"I've never been so vexed","Sorry to hear that.","72","24",""
"I've never been so vexed in all my life","Sorry to hear that.","72","39",""
"The news made me angry","Sorry to hear that.","72","22",""
"This is annoying","Sorry to hear that.","72","16",""
"This is exasperating","Sorry to hear that.","72","20",""
"This is infuriating","Sorry to hear that.","72","19",""
"This is irritating","Sorry to hear that.","72","18",""
"This is maddening","Sorry to hear that.","72","17",""
"I've never been so pissed off","Sorry to hear that.","72","29",""
"I've never been madder","Sorry to hear that.","72","22",""
"I've never been so incensed","Sorry to hear that.","72","27",""
"I'm so peeved today","Sorry to hear that.","72","19",""
"I'm so pissed off","Sorry to hear that.","72","17",""
"I'm ticked off","Sorry to hear that.","72","14",""
"I'm up in arms","Sorry to hear that.","72","14",""
"I'm vexed","Sorry to hear that.","72","9",""
"I've completely lost my temper","Sorry to hear that.","72","30",""
"I've never been so livid","Sorry to hear that.","72","24",""
"I've never been angrier","Sorry to hear that.","72","23",""
"This made me blow my top","Sorry to hear that.","72","24",""
"I've never been so angry in all my life","Sorry to hear that.","72","39",""
"I've never been so annoyed","Sorry to hear that.","72","26",""
"I've never been so annoyed in all my life","Sorry to hear that.","72","41",""
"I've never been so cross","Sorry to hear that.","72","24",""
"I've never been so enraged","Sorry to hear that.","72","26",""
"I've never been so enraged in all my life","Sorry to hear that.","72","41",""
"I've never been so furious","Sorry to hear that.","72","26",""
"I've never been so furious in all my life","Sorry to hear that.","72","41",""
"I've never been so irate","Sorry to hear that.","72","24",""
"This is vexing","Sorry to hear that.","72","14",""
"I'm about to lose my temper","Sorry to hear that.","72","27",""
"This makes me lost my temper","Sorry to hear that.","72","28",""
"I am so irate","Sorry to hear that.","72","13",""
"I just lost my temper","Sorry to hear that.","72","21",""
"I'm about to rage","Sorry to hear that.","72","17",""
"I am about to rage","Sorry to hear that.","72","18",""
"I'm raging right now","Sorry to hear that.","72","20",""
"I'm going to rage","Sorry to hear that.","72","17",""
"I am outraged","Sorry to hear that.","72","13",""
"This news left me outraged","Sorry to hear that.","72","26",""
"This makes me so irate","Sorry to hear that.","72","22",""
"This news left me furious","Sorry to hear that.","72","25",""
"I'm so furious","Sorry to hear that.","72","14",""
"I am incensed","Sorry to hear that.","72","13",""
"I'm incensed","Sorry to hear that.","72","12",""
"I'm so incensed","Sorry to hear that.","72","15",""
"I'm feeling incensed","Sorry to hear that.","72","20",""
"This news left me incensed","Sorry to hear that.","72","26",""
"This news left me irate","Sorry to hear that.","72","23",""
"This news left me peeved","Sorry to hear that.","72","24",""
"I'm so outraged right now","Sorry to hear that.","72","25",""
"This news enraged me","Sorry to hear that.","72","20",""
"This news is an outrage","Sorry to hear that.","72","23",""
"This news is infuriating","Sorry to hear that.","72","24",""
"This news left me annoyed","Sorry to hear that.","72","25",""
"This news left me exasperated","Sorry to hear that.","72","29",""
"This news left me infuriated","Sorry to hear that.","72","28",""
"This news left me irritated","Sorry to hear that.","72","27",""
"I'm outraged","Sorry to hear that.","72","12",""
"This news left me mad","Sorry to hear that.","72","21",""
"This made me blow a gasket","Sorry to hear that.","72","26",""
"This news left me pissed","Sorry to hear that.","72","24",""
"This news left me ticked off","Sorry to hear that.","72","28",""
"This news left me up in arms","Sorry to hear that.","72","28",""
"This news pissed  me off","Sorry to hear that.","72","24",""
"This makes me so angry","Sorry to hear that.","72","22",""
"I'm seeing red right now","Sorry to hear that.","72","24",""
"I'm so irate","Sorry to hear that.","72","12",""
"This news left me livid","Sorry to hear that.","72","23",""
"I am steaming mad","Sorry to hear that.","72","17",""
"I just blew a gasket","Sorry to hear that.","72","20",""
"I am so irritated right now","Sorry to hear that.","72","27",""
"I am so mad","Sorry to hear that.","72","11",""
"I am so mad right now","Sorry to hear that.","72","21",""
"I am so outraged","Sorry to hear that.","72","16",""
"I am so outraged right now","Sorry to hear that.","72","26",""
"I am so peeved","Sorry to hear that.","72","14",""
"I am so peeved right now","Sorry to hear that.","72","24",""
"I am so peeved today","Sorry to hear that.","72","20",""
"I am so annoyed right now","Sorry to hear that.","72","25",""
"I am so pissed off right now","Sorry to hear that.","72","28",""
"I am so annoyed","Sorry to hear that.","72","15",""
"I am ticked off","Sorry to hear that.","72","15",""
"I am up in arms","Sorry to hear that.","72","15",""
"I am vexed","Sorry to hear that.","72","10",""
"I can't stop being angry","Sorry to hear that.","72","24",""
"I couldn't be more angry","Sorry to hear that.","72","24",""
"I feel pissed off lately","Sorry to hear that.","72","24",""
"I flipped my lid","Sorry to hear that.","72","16",""
"I'm so peeved right now","Sorry to hear that.","72","23",""
"I am so pissed off","Sorry to hear that.","72","18",""
"I am infuriated","Sorry to hear that.","72","15",""
"I am angry","Sorry to hear that.","72","10",""
"I am annoyed","Sorry to hear that.","72","12",""
"I am blowing my top","Sorry to hear that.","72","19",""
"I am enraged","Sorry to hear that.","72","12",""
"I am feeling angry","Sorry to hear that.","72","18",""
"I am feeling cross","Sorry to hear that.","72","18",""
"I am feeling kind of mad","Sorry to hear that.","72","24",""
"I am so irritated","Sorry to hear that.","72","17",""
"I am heated","Sorry to hear that.","72","11",""
"I sure am ticked off","Sorry to hear that.","72","20",""
"I am just ticked off","Sorry to hear that.","72","20",""
"I am livid","Sorry to hear that.","72","10",""
"I am mad","Sorry to hear that.","72","8",""
"I am peeved","Sorry to hear that.","72","11",""
"I am pissed","Sorry to hear that.","72","11",""
"I am pissed off","Sorry to hear that.","72","15",""
"I am so angry","Sorry to hear that.","72","13",""
"I am so angry right now","Sorry to hear that.","72","23",""
"I am furious","Sorry to hear that.","72","12",""
"I'm so angry right now","Sorry to hear that.","72","22",""
"I'm just exasperated","Sorry to hear that.","72","20",""
"I'm just ticked off","Sorry to hear that.","72","19",""
"I'm livid","Sorry to hear that.","72","9",""
"I'm losing my temper","Sorry to hear that.","72","20",""
"I'm mad","Sorry to hear that.","72","7",""
"I'm peeved","Sorry to hear that.","72","10",""
"I'm pissed","Sorry to hear that.","72","10",""
"I'm pissed off","Sorry to hear that.","72","14",""
"I have been so mad lately","Sorry to hear that.","72","25",""
"I'm so angry","Sorry to hear that.","72","12",""
"I'm going ballistic","Sorry to hear that.","72","19",""
"I'm so angry, I could punch a hole in the wall","Sorry to hear that.","72","46",""
"I'm so annoyed","Sorry to hear that.","72","14",""
"I'm so annoyed right now","Sorry to hear that.","72","24",""
"I'm so irritated","Sorry to hear that.","72","16",""
"I'm so irritated right now","Sorry to hear that.","72","26",""
"I'm so mad right now","Sorry to hear that.","72","20",""
"I'm so outraged","Sorry to hear that.","72","15",""
"I'm really hot under the collar right now","Sorry to hear that.","72","41",""
"I'm exasperated","Sorry to hear that.","72","15",""
"I'm absolutely furious","Sorry to hear that.","72","22",""
"I'm an angry girl","Sorry to hear that.","72","17",""
"I'm an angry guy","Sorry to hear that.","72","16",""
"I'm an angry man","Sorry to hear that.","72","16",""
"I'm an angry person","Sorry to hear that.","72","19",""
"I'm an unhappy camper","Sorry to hear that.","72","21",""
"I'm annoyed","Sorry to hear that.","72","11",""
"I'm infuriated","Sorry to hear that.","72","14",""
"I'm heated","Sorry to hear that.","72","10",""
"I'm feeling angry","Sorry to hear that.","72","17",""
"I'm feeling cross","Sorry to hear that.","72","17",""
"I'm feeling hot under the collar","Sorry to hear that.","72","32",""
"I'm feeling kind of mad","Sorry to hear that.","72","23",""
"I'm feeling ticked off","Sorry to hear that.","72","22",""
"I'm furious","Sorry to hear that.","72","11",""
"I'm furious right now","Sorry to hear that.","72","21",""
"I am absolutely livid","Sorry to hear that.","72","21",""
"I'm blowing my top","Sorry to hear that.","72","18",""
"I've lost my temper","Sorry to hear that.","72","19",""
"I'm angry","Sorry to hear that.","72","9",""
"I'm enraged","Sorry to hear that.","72","11",""
"I've never been so peeved in all my life","Sorry to hear that.","72","40",""
"I'm so mad","Sorry to hear that.","72","10",""
"I am feeling ticked off","Sorry to hear that.","72","23",""
"I've never been so infuriated","Sorry to hear that.","72","29",""
"I'm so infuriated","Sorry to hear that.","72","17",""
"This news left me vexed","Sorry to hear that.","72","23",""
"I'm so pissed off right now","Sorry to hear that.","72","27",""
"Why are your answers so bad?","Sorry about that.","71","28",""
"That's so far off from the truth","Sorry about that.","71","32",""
"What a strange thing to say","Sorry about that.","71","27",""
"What a stupid thing to say","Sorry about that.","71","26",""
"What a weird thing to say","Sorry about that.","71","25",""
"what so funny about India?","Sorry about that.","71","26",""
"What you just said makes absolutely no sense","Sorry about that.","71","44",""
"Well that was dumb","Sorry about that.","71","18",""
"who cares","Sorry about that.","71","9",""
"Well that sucks","Sorry about that.","71","15",""
"Why are your responses so bad?","Sorry about that.","71","30",""
"why not?","Sorry about that.","71","8",""
"Wrong","Sorry about that.","71","5",""
"Wrong answer","Sorry about that.","71","12",""
"You didn't answer my question","Sorry about that.","71","29",""
"you don't know?","Sorry about that.","71","15",""
"whatever","Sorry about that.","71","8",""
"You're way off","Sorry about that.","71","14",""
"That's super dumb","Sorry about that.","71","17",""
"That's super not true","Sorry about that.","71","21",""
"That's super wrong","Sorry about that.","71","18",""
"That's the wrong thing to say","Sorry about that.","71","29",""
"That's totally dumb","Sorry about that.","71","19",""
"What a dumb thing to say","Sorry about that.","71","24",""
"That's totally wrong","Sorry about that.","71","20",""
"You said that you don't have a response for that, but there was no request","Sorry about that.","71","74",""
"That's your answer?","Sorry about that.","71","19",""
"Try harder","Sorry about that.","71","10",""
"Way off","Sorry about that.","71","7",""
"Well that sucked","Sorry about that.","71","16",""
"That's totally untrue","Sorry about that.","71","21",""
"Your responses aren't even close to being right","Sorry about that.","71","47",""
"you don't understand nothing","Sorry about that.","71","28",""
"Your responses are irrelevant","Sorry about that.","71","29",""
"Your responses are not true","Sorry about that.","71","27",""
"Your responses are so dumb","Sorry about that.","71","26",""
"Your responses are stupid","Sorry about that.","71","25",""
"Your responses are dumb","Sorry about that.","71","23",""
"Your responses are untrue","Sorry about that.","71","25",""
"Your responses are bad","Sorry about that.","71","22",""
"Your responses aren't relevant","Sorry about that.","71","30",""
"Your responses just get dumber and dumber","Sorry about that.","71","41",""
"You're failing at this.","Sorry about that.","71","23",""
"You're failing so hard.","Sorry about that.","71","23",""
"You're giving me bad information","Sorry about that.","71","32",""
"You're not answering my question","Sorry about that.","71","32",""
"Your responses are unhelpful","Sorry about that.","71","28",""
"Your answers are not true","Sorry about that.","71","25",""
"That's not what I was expecting","Sorry about that.","71","31",""
"You sound as dumb as a post.","Sorry about that.","71","28",""
"You sound so dumb right now","Sorry about that.","71","27",""
"Your answers are awful","Sorry about that.","71","22",""
"Your answers are bad","Sorry about that.","71","20",""
"Your answers are dumb","Sorry about that.","71","21",""
"Your responses are false","Sorry about that.","71","24",""
"Your answers are irrelevant","Sorry about that.","71","27",""
"Your answers are not very good","Sorry about that.","71","30",""
"Your answers are stupid","Sorry about that.","71","23",""
"Your answers are untrue","Sorry about that.","71","23",""
"Your responses are awful","Sorry about that.","71","24",""
"Your answers are false","Sorry about that.","71","22",""
"That makes no sense","Sorry about that.","71","19",""
"So you don't know?","Sorry about that.","71","18",""
"That answer makes no sense","Sorry about that.","71","26",""
"that is lame","Sorry about that.","71","12",""
"That isn't what I thought you'd say","Sorry about that.","71","35",""
"Right, this isn't working.","Sorry about that.","71","26",""
"That makes absolutely no sense","Sorry about that.","71","30",""
"Nothing you say makes any sense","Sorry about that.","71","31",""
"That was a bad answer","Sorry about that.","71","21",""
"That was a bad response","Sorry about that.","71","23",""
"That was a bad thing to say","Sorry about that.","71","27",""
"That was a non sequitur","Sorry about that.","71","23",""
"That's so wrong","Sorry about that.","71","15",""
"That made you sound so dumb","Sorry about that.","71","27",""
"No, that's not true","Sorry about that.","71","19",""
"Everything you told me was false","Sorry about that.","71","32",""
"","Sorry about that.","71","5",""
"I did not understand what you just said","Sorry about that.","71","39",""
"I give up","Sorry about that.","71","9",""
"I hate that answer","Sorry about that.","71","18",""
"I wasn't expecting that","Sorry about that.","71","23",""
"seriously?","Sorry about that.","71","10",""
"Inaccurate","Sorry about that.","71","10",""
"That was a stupid answer","Sorry about that.","71","24",""
"Non sequitur","Sorry about that.","71","12",""
"None of what you said made any sense","Sorry about that.","71","36",""
"Nope, false","Sorry about that.","71","11",""
"Not even close","Sorry about that.","71","14",""
"Not true","Sorry about that.","71","8",""
"I wasn't expecting you to say that","Sorry about that.","71","34",""
"That's not the right thing to say","Sorry about that.","71","33",""
"That's not even close to being right","Sorry about that.","71","36",""
"That's not good enough","Sorry about that.","71","22",""
"That's not relevant","Sorry about that.","71","19",""
"That's not the answer I expected","Sorry about that.","71","32",""
"That's not the answer I wanted","Sorry about that.","71","30",""
"That's not the answer I wanted to hear","Sorry about that.","71","38",""
"That's not the answer I wanted you to tell me","Sorry about that.","71","45",""
"That's not a good answer","Sorry about that.","71","24",""
"That's not true","Sorry about that.","71","15",""
"That's not what I asked","Sorry about that.","71","23",""
"That's not what I typed","Sorry about that.","71","23",""
"That's not what I want to hear","Sorry about that.","71","30",""
"That's not the answer I wanted you to say","Sorry about that.","71","41",""
"That was a weird response","Sorry about that.","71","25",""
"That was such a bad answer","Sorry about that.","71","26",""
"That was such a bad response","Sorry about that.","71","28",""
"That was such a dumb answer","Sorry about that.","71","27",""
"That's not accurate","Sorry about that.","71","19",""
"That wasn't relevant","Sorry about that.","71","20",""
"That's not a good response","Sorry about that.","71","26",""
"That's how you answer?","Sorry about that.","71","22",""
"That's how you respond?","Sorry about that.","71","23",""
"That's inaccurate","Sorry about that.","71","17",""
"that's lame","Sorry about that.","71","11",""
"Everything you say is so dumb","Sorry about that.","71","29",""
"That was unhelpful","Sorry about that.","71","18",""
"That was a terrible answer","Sorry about that.","71","26",""
"That wasn't true","Sorry about that.","71","16",""
"That's wrong","Sorry about that.","71","12",""
"That was a dumb thing to say","Sorry about that.","71","28",""
"That's your response?","Sorry about that.","71","21",""
"Your responses are not very good","Sorry about that.","71","32",""
"You make no sense","Sorry about that.","71","17",""
"That doesn't answer my question","Sorry about that.","71","31",""
"Your answers are so dumb","Sorry about that.","71","24",""
"That's not what I thought you'd say","Sorry about that.","71","35",""
"Were you going for humor?","Sometimes humor is tricky for a bot.","70","25",""
"You're unfunny","Sometimes humor is tricky for a bot.","70","14",""
"That's nothing to joke about","Sometimes humor is tricky for a bot.","70","28",""
"That's really not funny","Sometimes humor is tricky for a bot.","70","23",""
"That's so funny I forgot to laugh","Sometimes humor is tricky for a bot.","70","33",""
"That's so not funny","Sometimes humor is tricky for a bot.","70","19",""
"That's so unfunny","Sometimes humor is tricky for a bot.","70","17",""
"That's unfunny","Sometimes humor is tricky for a bot.","70","14",""
"The humor is going nowhere","Sometimes humor is tricky for a bot.","70","26",""
"This is no laughing matter","Sometimes humor is tricky for a bot.","70","26",""
"Was that supposed to be funny?","Sometimes humor is tricky for a bot.","70","30",""
"Was that supposed to make me laugh?","Sometimes humor is tricky for a bot.","70","35",""
"That's not something you should make fun of","Sometimes humor is tricky for a bot.","70","43",""
"Were you going for funny?","Sometimes humor is tricky for a bot.","70","25",""
"That's not something you should joke about","Sometimes humor is tricky for a bot.","70","42",""
"Were you trying to be funny?","Sometimes humor is tricky for a bot.","70","28",""
"Were you trying to get a laugh?","Sometimes humor is tricky for a bot.","70","31",""
"Were you trying to make me laugh?","Sometimes humor is tricky for a bot.","70","33",""
"Were you trying to say something funny?","Sometimes humor is tricky for a bot.","70","39",""
"What a bad joke","Sometimes humor is tricky for a bot.","70","15",""
"What a busted joke","Sometimes humor is tricky for a bot.","70","18",""
"What a crappy joke","Sometimes humor is tricky for a bot.","70","18",""
"What a horrible joke","Sometimes humor is tricky for a bot.","70","20",""
"What a janky joke","Sometimes humor is tricky for a bot.","70","17",""
"What a lame joke","Sometimes humor is tricky for a bot.","70","16",""
"What a nasty joke","Sometimes humor is tricky for a bot.","70","17",""
"Weak joke","Sometimes humor is tricky for a bot.","70","9",""
"That was really not funny","Sometimes humor is tricky for a bot.","70","25",""
"That joke is nasty","Sometimes humor is tricky for a bot.","70","18",""
"That joke is wack","Sometimes humor is tricky for a bot.","70","17",""
"That joke is whack","Sometimes humor is tricky for a bot.","70","18",""
"That joke was crap","Sometimes humor is tricky for a bot.","70","18",""
"That was a joke?","Sometimes humor is tricky for a bot.","70","16",""
"That was a joke? I don't get it","Sometimes humor is tricky for a bot.","70","31",""
"That was a joke? You'll have to try harder","Sometimes humor is tricky for a bot.","70","42",""
"That was a lame joke","Sometimes humor is tricky for a bot.","70","20",""
"That was a stupid joke","Sometimes humor is tricky for a bot.","70","22",""
"That was not funny","Sometimes humor is tricky for a bot.","70","18",""
"That was not funny at all","Sometimes humor is tricky for a bot.","70","25",""
"That's not very funny","Sometimes humor is tricky for a bot.","70","21",""
"That was not very funny at all","Sometimes humor is tricky for a bot.","70","30",""
"You are not funny","Sometimes humor is tricky for a bot.","70","17",""
"That was so not funny","Sometimes humor is tricky for a bot.","70","21",""
"That wasn't even funny","Sometimes humor is tricky for a bot.","70","22",""
"That wasn't very funny","Sometimes humor is tricky for a bot.","70","22",""
"That wasn't very funny at all","Sometimes humor is tricky for a bot.","70","29",""
"That's a stupid joke","Sometimes humor is tricky for a bot.","70","20",""
"That's no laughing matter","Sometimes humor is tricky for a bot.","70","25",""
"That's not funny","Sometimes humor is tricky for a bot.","70","16",""
"That's not something to joke about","Sometimes humor is tricky for a bot.","70","34",""
"That's not something you should be joking about.","Sometimes humor is tricky for a bot.","70","48",""
"That's not something you should be making fun of","Sometimes humor is tricky for a bot.","70","48",""
"That was not very funny","Sometimes humor is tricky for a bot.","70","23",""
"You're a regular comedian","Sometimes humor is tricky for a bot.","70","25",""
"What a weak joke","Sometimes humor is tricky for a bot.","70","16",""
"Your jokes are wack","Sometimes humor is tricky for a bot.","70","19",""
"Your jokes are weak","Sometimes humor is tricky for a bot.","70","19",""
"Your jokes are weak sauce","Sometimes humor is tricky for a bot.","70","25",""
"Your jokes are whack","Sometimes humor is tricky for a bot.","70","20",""
"Your jokes are worse than dad jokes","Sometimes humor is tricky for a bot.","70","35",""
"Your jokes stink","Sometimes humor is tricky for a bot.","70","16",""
"Your jokes suck","Sometimes humor is tricky for a bot.","70","15",""
"Your not funny","Sometimes humor is tricky for a bot.","70","14",""
"Your sense of humor is awful","Sometimes humor is tricky for a bot.","70","28",""
"Your sense of humor is lame","Sometimes humor is tricky for a bot.","70","27",""
"Your sense of humor is terrible","Sometimes humor is tricky for a bot.","70","31",""
"Your jokes are lame","Sometimes humor is tricky for a bot.","70","19",""
"You're a regular clown","Sometimes humor is tricky for a bot.","70","22",""
"Your jokes are janky","Sometimes humor is tricky for a bot.","70","20",""
"You're a wise guy, aren't you?","Sometimes humor is tricky for a bot.","70","30",""
"You're bad at humor","Sometimes humor is tricky for a bot.","70","19",""
"You're bad at jokes","Sometimes humor is tricky for a bot.","70","19",""
"You're no comedian","Sometimes humor is tricky for a bot.","70","18",""
"You're not even funny","Sometimes humor is tricky for a bot.","70","21",""
"You're not funny","Sometimes humor is tricky for a bot.","70","16",""
"You're not very funny","Sometimes humor is tricky for a bot.","70","21",""
"You're so not funny","Sometimes humor is tricky for a bot.","70","19",""
"You're so unfunny","Sometimes humor is tricky for a bot.","70","17",""
"You're trying to be funny. Pathetic","Sometimes humor is tricky for a bot.","70","35",""
"You're trying too hard","Sometimes humor is tricky for a bot.","70","22",""
"Your sense of humor makes me sick","Sometimes humor is tricky for a bot.","70","33",""
"You think you're funny, but you're not","Sometimes humor is tricky for a bot.","70","38",""
"That is not something to make jokes about","Sometimes humor is tricky for a bot.","70","41",""
"You are so not funny","Sometimes humor is tricky for a bot.","70","20",""
"You are so unfunny","Sometimes humor is tricky for a bot.","70","18",""
"You call that a joke?","Sometimes humor is tricky for a bot.","70","21",""
"You can't make me laugh","Sometimes humor is tricky for a bot.","70","23",""
"You have a lame sense of humor","Sometimes humor is tricky for a bot.","70","30",""
"You have a sick sense of humor","Sometimes humor is tricky for a bot.","70","30",""
"You have a terrible sense of humor","Sometimes humor is tricky for a bot.","70","34",""
"You shouldn't joke about that","Sometimes humor is tricky for a bot.","70","29",""
"You shouldn't make jokes like that.","Sometimes humor is tricky for a bot.","70","35",""
"You tell bad jokes","Sometimes humor is tricky for a bot.","70","18",""
"Your jokes are nasty","Sometimes humor is tricky for a bot.","70","20",""
"You think that's funny?","Sometimes humor is tricky for a bot.","70","23",""
"What a whack joke","Sometimes humor is tricky for a bot.","70","17",""
"You think you're funny, don't you?","Sometimes humor is tricky for a bot.","70","34",""
"You think you're so funny","Sometimes humor is tricky for a bot.","70","25",""
"Your attempt at humor failed","Sometimes humor is tricky for a bot.","70","28",""
"Your joke is weak","Sometimes humor is tricky for a bot.","70","17",""
"Your joke stinks","Sometimes humor is tricky for a bot.","70","16",""
"Your joke sucks","Sometimes humor is tricky for a bot.","70","15",""
"Your joke was awful","Sometimes humor is tricky for a bot.","70","19",""
"Your jokes are busted","Sometimes humor is tricky for a bot.","70","21",""
"Your jokes are crap","Sometimes humor is tricky for a bot.","70","19",""
"Your jokes are going nowhere with me","Sometimes humor is tricky for a bot.","70","36",""
"You tell crappy jokes","Sometimes humor is tricky for a bot.","70","21",""
"I didn't think that was funny","Sometimes humor is tricky for a bot.","70","29",""
"That joke is awful","Sometimes humor is tricky for a bot.","70","18",""
"I didn't find that funny","Sometimes humor is tricky for a bot.","70","24",""
"I didn't find that to be amusing","Sometimes humor is tricky for a bot.","70","32",""
"I didn't find that to be funny at all","Sometimes humor is tricky for a bot.","70","37",""
"I didn't find that to be very amusing","Sometimes humor is tricky for a bot.","70","37",""
"I didn't find that very amusing","Sometimes humor is tricky for a bot.","70","31",""
"I didn't find that very funny","Sometimes humor is tricky for a bot.","70","29",""
"I didn't find you amusing","Sometimes humor is tricky for a bot.","70","25",""
"I didn't find you funny","Sometimes humor is tricky for a bot.","70","23",""
"I didn't find you very amusing","Sometimes humor is tricky for a bot.","70","30",""
"I didn't find you very funny","Sometimes humor is tricky for a bot.","70","28",""
"I didn't get the joke","Sometimes humor is tricky for a bot.","70","21",""
"I didn't appreciate your sense of humor","Sometimes humor is tricky for a bot.","70","39",""
"I didn't like your wisecracking","Sometimes humor is tricky for a bot.","70","31",""
"Humor isn't your strong suit","Sometimes humor is tricky for a bot.","70","28",""
"I didn't think were very funny","Sometimes humor is tricky for a bot.","70","30",""
"I didn't think you were funny","Sometimes humor is tricky for a bot.","70","29",""
"I don't find you amusing","Sometimes humor is tricky for a bot.","70","24",""
"I don't find you very amusing","Sometimes humor is tricky for a bot.","70","29",""
"I don't appreciate your sense of humor","Sometimes humor is tricky for a bot.","70","38",""
"I don't appreciate your silliness","Sometimes humor is tricky for a bot.","70","33",""
"I don't find that funny","Sometimes humor is tricky for a bot.","70","23",""
"I don't find that to be amusing","Sometimes humor is tricky for a bot.","70","31",""
"I don't find that to be very amusing","Sometimes humor is tricky for a bot.","70","36",""
"I don't find that very amusing","Sometimes humor is tricky for a bot.","70","30",""
"I didn't like your sense of humor","Sometimes humor is tricky for a bot.","70","33",""
"Don't make fun of that","Sometimes humor is tricky for a bot.","70","22",""
"Am I supposed to think that's funny?","Sometimes humor is tricky for a bot.","70","36",""
"Are you kidding me?","Sometimes humor is tricky for a bot.","70","19",""
"Are you kidding?","Sometimes humor is tricky for a bot.","70","16",""
"Are you trying to be funny?","Sometimes humor is tricky for a bot.","70","27",""
"Are you trying to make me laugh?","Sometimes humor is tricky for a bot.","70","32",""
"Are you trying to say something funny?","Sometimes humor is tricky for a bot.","70","38",""
"Cut the humor","Sometimes humor is tricky for a bot.","70","13",""
"Cut the jokes","Sometimes humor is tricky for a bot.","70","13",""
"Cut the wisecracks","Sometimes humor is tricky for a bot.","70","18",""
"Do you think that's funny?","Sometimes humor is tricky for a bot.","70","26",""
"I didn't find that amusing","Sometimes humor is tricky for a bot.","70","26",""
"Don't joke about that","Sometimes humor is tricky for a bot.","70","21",""
"I don't find you very funny","Sometimes humor is tricky for a bot.","70","27",""
"Don't make jokes about that","Sometimes humor is tricky for a bot.","70","27",""
"Don't quit your day job","Sometimes humor is tricky for a bot.","70","23",""
"Don't try to be funny","Sometimes humor is tricky for a bot.","70","21",""
"Don't try to make me laugh","Sometimes humor is tricky for a bot.","70","26",""
"Enough with the humor","Sometimes humor is tricky for a bot.","70","21",""
"Enough with the jokes already","Sometimes humor is tricky for a bot.","70","29",""
"Enough with the silliness","Sometimes humor is tricky for a bot.","70","25",""
"Enough with the wisecracks","Sometimes humor is tricky for a bot.","70","26",""
"Hilarious not.","Sometimes humor is tricky for a bot.","70","14",""
"Humor fail","Sometimes humor is tricky for a bot.","70","10",""
"Do you think this is funny?","Sometimes humor is tricky for a bot.","70","27",""
"Stop kidding","Sometimes humor is tricky for a bot.","70","12",""
"I don't find that very funny","Sometimes humor is tricky for a bot.","70","28",""
"Quit joking","Sometimes humor is tricky for a bot.","70","11",""
"Quit messing around","Sometimes humor is tricky for a bot.","70","19",""
"So, you think you're funny?","Sometimes humor is tricky for a bot.","70","27",""
"So, you're a wise guy?","Sometimes humor is tricky for a bot.","70","22",""
"Stop being silly","Sometimes humor is tricky for a bot.","70","16",""
"Stop clowning around","Sometimes humor is tricky for a bot.","70","20",""
"Stop fooling around","Sometimes humor is tricky for a bot.","70","19",""
"Stop it with the humor","Sometimes humor is tricky for a bot.","70","22",""
"Stop it with the jokes","Sometimes humor is tricky for a bot.","70","22",""
"Stop it with the wisecracking","Sometimes humor is tricky for a bot.","70","29",""
"Pretty bad joke","Sometimes humor is tricky for a bot.","70","15",""
"Stop joking about things","Sometimes humor is tricky for a bot.","70","24",""
"Pretty awful joke","Sometimes humor is tricky for a bot.","70","17",""
"Stop kidding around","Sometimes humor is tricky for a bot.","70","19",""
"Stop making fun","Sometimes humor is tricky for a bot.","70","15",""
"Stop making fun of things","Sometimes humor is tricky for a bot.","70","25",""
"Stop messing around","Sometimes humor is tricky for a bot.","70","19",""
"Stop trying to be funny","Sometimes humor is tricky for a bot.","70","23",""
"Stop your joking","Sometimes humor is tricky for a bot.","70","16",""
"Stop your silliness","Sometimes humor is tricky for a bot.","70","19",""
"Stop your wisecracking","Sometimes humor is tricky for a bot.","70","22",""
"That didn't make me laugh","Sometimes humor is tricky for a bot.","70","25",""
"That is not something to joke about","Sometimes humor is tricky for a bot.","70","35",""
"Am I supposed to think that was funny?","Sometimes humor is tricky for a bot.","70","38",""
"Stop joking","Sometimes humor is tricky for a bot.","70","11",""
"If you're trying to be funny it's not working","Sometimes humor is tricky for a bot.","70","45",""
"I don't get the joke","Sometimes humor is tricky for a bot.","70","20",""
"I don't like it when you try to be funny","Sometimes humor is tricky for a bot.","70","40",""
"I don't like your wisecracking","Sometimes humor is tricky for a bot.","70","30",""
"I don't think that was funny","Sometimes humor is tricky for a bot.","70","28",""
"I don't think that was very funny","Sometimes humor is tricky for a bot.","70","33",""
"I don't think that's funny","Sometimes humor is tricky for a bot.","70","26",""
"I don't think that's very funny","Sometimes humor is tricky for a bot.","70","31",""
"I don't think you're very funny","Sometimes humor is tricky for a bot.","70","31",""
"Quit fooling around","Sometimes humor is tricky for a bot.","70","19",""
"If you're going to tell a joke, do it right","Sometimes humor is tricky for a bot.","70","43",""
"I don't find you funny","Sometimes humor is tricky for a bot.","70","22",""
"I'm not amused","Sometimes humor is tricky for a bot.","70","14",""
"Is that a joke?","Sometimes humor is tricky for a bot.","70","15",""
"Is that supposed to be funny?","Sometimes humor is tricky for a bot.","70","29",""
